""_id","_labels","Duplex","comuna","desc_conexion","es_modular","estado_puerto","fabricante","host_puerto_id","hostname","ip_gestion","link_id","modelo","modo","num_puertos_conect","num_puertos_totales","owner_switch","puerto_id","region","remote_hostname","role","serial_number","tipo","tipo_puerto","ubicacion","velocidad","vlan","_start","_end","_type"
"97",":Puerto","","","","","activo","","CH-SW-02-LRY_Ethernet1/27","","","","","","","","CH-SW-02-LRY","Ethernet1/27","","","","","","físico","","","",,,
"98",":Puerto","","","Conexion Diameter a ETH5-OCCDOR1","","activo","","CH-SW-02-LRY_Ethernet1/28","OCCDOR1","","LNK:CCN7__CH-SW-02-LRY:Ethernet1/28","","access","","","CH-SW-02-LRY","Ethernet1/28","","OCCDOR1","","","","físico","","","657",,,
"99",":Puerto","full","","Conexion Diameter a ETH6-OCCDOR1","","activo","","CH-SW-02-LRY_Ethernet1/29","OCCDOR1","","LNK:CCN7__CH-SW-02-LRY:Ethernet1/29","","access","","","CH-SW-02-LRY","Ethernet1/29","","OCCDOR1","","","","físico","","1000.0","653",,,
"100",":Puerto","","","","","inactivo","","CH-SW-02-LRY_Ethernet1/30","","","","","","","","CH-SW-02-LRY","Ethernet1/30","","","","","","físico","","","",,,
"101",":Puerto","","","","","inactivo","","CH-SW-02-LRY_Ethernet1/31","","","","","","","","CH-SW-02-LRY","Ethernet1/31","","","","","","físico","","","",,,
"102",":Puerto","full","","Conexion a SDPDOR7B / O&M","","activo","","CH-SW-02-LRY_Ethernet1/32","SDPDOR7B","","LNK:CH-SW-02-LRY:Ethernet1/32__SDPDOR7B","","access","","","CH-SW-02-LRY","Ethernet1/32","","SDPDOR7B","","","","físico","","100.0","651",,,
"103",":Puerto","full","","Conexion a SDPDOR7A / Payload","","activo","","CH-SW-02-LRY_Ethernet1/33","SDPDOR7A","","LNK:CH-SW-02-LRY:Ethernet1/33__SDPDOR7A","","access","","","CH-SW-02-LRY","Ethernet1/33","","SDPDOR7A","","","","físico","","1000.0","655",,,
"104",":Puerto","full","","Conexion a SDPDOR7B / Sigtran2","","activo","","CH-SW-02-LRY_Ethernet1/34","SDPDOR7B","","LNK:CH-SW-02-LRY:Ethernet1/34__SDPDOR7B","","access","","","CH-SW-02-LRY","Ethernet1/34","","SDPDOR7B","","","","físico","","1000.0","653",,,
"105",":Puerto","","","","","activo","","CH-SW-02-LRY_Ethernet1/35","","","","","","","","CH-SW-02-LRY","Ethernet1/35","","","","","","físico","","","",,,
"106",":Puerto","","","CHSW02DOR / arch-srv_net1","","activo","","CH-SW-02-LRY_Ethernet1/36","CHSW02DOR","","LNK:CH-SW-02-LRY:Ethernet1/36__CHSW02DOR","","access","","","CH-SW-02-LRY","Ethernet1/36","","CHSW02DOR","","","","físico","","","651",,,
